ZONE_,STATION,LINE,TYPE,STATE,KEY_,LABEL,LAT,LONG
na,Leamy Avenue,Route 101 Trolley,Surface Trolley,PA,S01LMY,Leamy Avenue,39.92627837300,-75.33732051070
na,Woodland Avenue,Route 101 Trolley,Surface Trolley,PA,S01WLD,Woodland Avenue,39.92475375210,-75.33963494500
na,Thomson Avenue,Route 101 Trolley,Surface Trolley,PA,S01THM,Thomson Avenue,39.92111056320,-75.34544881080
na,Springfield Mall,Route 101 Trolley,Surface Trolley,PA,S01SFM,Springfield Mall,39.91811906210,-75.34898202920
na,Paper Mill Road,Route 101 Trolley,Surface Trolley,PA,S01PPR,Paper Mill Road,39.91535548940,-75.35790396880
na,Pine Ridge,Route 101 Trolley,Surface Trolley,PA,S01PRG,Pine Ridge,39.91497188470,-75.36996984180
na,Beatty Road,Route 101 Trolley,Surface Trolley,PA,S01BTY,Beatty Road,39.91618491490,-75.37690839580
3,Elwyn,Media/Elwyn Line,SEPTA Regional Rail,PA,SR3EWN,Elwyn,39.90787568840,-75.41119720630
3,Media,Media/Elwyn Line,SEPTA Regional Rail,PA,SR3MDA,Media,39.91425948850,-75.39480281130
3,Moylan-Rose Valley,Media/Elwyn Line,SEPTA Regional Rail,PA,SR3MRV,Moylan-Rose Valley,39.90593665100,-75.38803169860
3,Wallingford,Media/Elwyn Line,SEPTA Regional Rail,PA,SR3WFD,Wallingford,39.90361659780,-75.37172093220
3,Swarthmore,Media/Elwyn Line,SEPTA Regional Rail,PA,SR3SWT,Swarthmore,39.90221293610,-75.35106038970
na,Sharon Hill,Route 102 Trolley,Surface Trolley,PA,S02SHL,Sharon Hill,39.90661154670,-75.27811055220
4,Marcus Hook,Wilmington/Newark Line,SEPTA Regional Rail,PA,SR2MHK,Marcus Hook,39.82154837830,-75.41956843000
4,Highland Avenue,Wilmington/Newark Line,SEPTA Regional Rail,PA,SR2HDA,Highland Avenue,39.83377121870,-75.39301847560
3,Chester TC,Wilmington/Newark Line,SEPTA Regional Rail,PA,SR2CTC,Chester TC,39.84947228760,-75.36006729870
3,Eddystone,Wilmington/Newark Line,SEPTA Regional Rail,PA,SR2EDY,Eddystone,39.85730112930,-75.34165242910
3,Crum Lynne,Wilmington/Newark Line,SEPTA Regional Rail,PA,SR2CLN,Crum Lynne,39.87182054040,-75.33084192360
3,Ridley Park,Wilmington/Newark Line,SEPTA Regional Rail,PA,SR2RPK,Ridley Park,39.88054710000,-75.32187029590
